geoid,year,measure,value
020130001001000,2021,total_housing_units,0
020130001001001,2021,total_housing_units,0
020130001001002,2021,total_housing_units,0
020130001001003,2021,total_housing_units,0
020130001001004,2021,total_housing_units,0
020130001001005,2021,total_housing_units,0
020130001001006,2021,total_housing_units,0
020130001001007,2021,total_housing_units,0
020130001001008,2021,total_housing_units,0
020130001001009,2021,total_housing_units,0
020130001001010,2021,total_housing_units,0
020130001001011,2021,total_housing_units,0
020130001001012,2021,total_housing_units,0
020130001001013,2021,total_housing_units,0
020130001001014,2021,total_housing_units,0
020130001001015,2021,total_housing_units,0
020130001001016,2021,total_housing_units,0
020130001001017,2021,total_housing_units,0
020130001001018,2021,total_housing_units,0
020130001001019,2021,total_housing_units,0
020130001001020,2021,total_housing_units,0
020130001001021,2021,total_housing_units,0
020130001001022,2021,total_housing_units,0
020130001001023,2021,total_housing_units,0
020130001001024,2021,total_housing_units,0
020130001001025,2021,total_housing_units,0
020130001001026,2021,total_housing_units,0
020130001001027,2021,total_housing_units,0
020130001001028,2021,total_housing_units,0
020130001001029,2021,total_housing_units,0
020130001001030,2021,total_housing_units,2
020130001001031,2021,total_housing_units,0
020130001001032,2021,total_housing_units,0
020130001001033,2021,total_housing_units,0
020130001001034,2021,total_housing_units,0
020130001001035,2021,total_housing_units,0
020130001001036,2021,total_housing_units,0
020130001001037,2021,total_housing_units,0
020130001001038,2021,total_housing_units,0
020130001001039,2021,total_housing_units,0
020130001001040,2021,total_housing_units,0
020130001001041,2021,total_housing_units,0
020130001001042,2021,total_housing_units,0
020130001001043,2021,total_housing_units,0
020130001001044,2021,total_housing_units,0
020130001001045,2021,total_housing_units,0
020130001001046,2021,total_housing_units,0
020130001001047,2021,total_housing_units,0
020130001001048,2021,total_housing_units,0
020130001001049,2021,total_housing_units,0
020130001001050,2021,total_housing_units,0
020130001001051,2021,total_housing_units,0
020130001001052,2021,total_housing_units,0
020130001001053,2021,total_housing_units,0
020130001001054,2021,total_housing_units,0
020130001001055,2021,total_housing_units,0
020130001001056,2021,total_housing_units,0
020130001001057,2021,total_housing_units,0
020130001001058,2021,total_housing_units,0
020130001001059,2021,total_housing_units,0
020130001001060,2021,total_housing_units,0
020130001001061,2021,total_housing_units,0
020130001001062,2021,total_housing_units,0
020130001001063,2021,total_housing_units,0
020130001001064,2021,total_housing_units,0
020130001001065,2021,total_housing_units,0
020130001001066,2021,total_housing_units,0
020130001001067,2021,total_housing_units,0
020130001001068,2021,total_housing_units,0
020130001001069,2021,total_housing_units,0
020130001001070,2021,total_housing_units,0
020130001001071,2021,total_housing_units,0
020130001001072,2021,total_housing_units,0
020130001001073,2021,total_housing_units,0
020130001001074,2021,total_housing_units,0
020130001001075,2021,total_housing_units,0
020130001001076,2021,total_housing_units,0
020130001001077,2021,total_housing_units,0
020130001001078,2021,total_housing_units,0
020130001001079,2021,total_housing_units,0
020130001001080,2021,total_housing_units,0
020130001001081,2021,total_housing_units,0
020130001001082,2021,total_housing_units,0
020130001001083,2021,total_housing_units,0
020130001001084,2021,total_housing_units,0
020130001001085,2021,total_housing_units,0
020130001001086,2021,total_housing_units,0
020130001001087,2021,total_housing_units,0
020130001001088,2021,total_housing_units,0
020130001001089,2021,total_housing_units,0
020130001001090,2021,total_housing_units,0
020130001001091,2021,total_housing_units,0
020130001001092,2021,total_housing_units,0
020130001001093,2021,total_housing_units,0
020130001001094,2021,total_housing_units,0
020130001001095,2021,total_housing_units,0
020130001001096,2021,total_housing_units,0
020130001001097,2021,total_housing_units,0
020130001001098,2021,total_housing_units,0
020130001001099,2021,total_housing_units,0
020130001001100,2021,total_housing_units,0
020130001001101,2021,total_housing_units,1
020130001001102,2021,total_housing_units,0
020130001001103,2021,total_housing_units,0
020130001001104,2021,total_housing_units,0
020130001001105,2021,total_housing_units,0
020130001001106,2021,total_housing_units,0
020130001001107,2021,total_housing_units,0
020130001001108,2021,total_housing_units,8
020130001001109,2021,total_housing_units,0
020130001001110,2021,total_housing_units,0
020130001001111,2021,total_housing_units,0
020130001001112,2021,total_housing_units,0
020130001001113,2021,total_housing_units,0
020130001001114,2021,total_housing_units,0
020130001001115,2021,total_housing_units,0
020130001001116,2021,total_housing_units,0
020130001001117,2021,total_housing_units,0
020130001001118,2021,total_housing_units,0
020130001001119,2021,total_housing_units,0
020130001001120,2021,total_housing_units,0
020130001001121,2021,total_housing_units,0
