geoid,year,measure,value
020130001001122,2021,total_housing_units,0
020130001001123,2021,total_housing_units,0
020130001001124,2021,total_housing_units,0
020130001001125,2021,total_housing_units,0
020130001001126,2021,total_housing_units,0
020130001001127,2021,total_housing_units,0
020130001001128,2021,total_housing_units,0
020130001001129,2021,total_housing_units,0
020130001001130,2021,total_housing_units,0
020130001001131,2021,total_housing_units,0
020130001001132,2021,total_housing_units,0
020130001001133,2021,total_housing_units,0
020130001001134,2021,total_housing_units,0
020130001001135,2021,total_housing_units,0
020130001001136,2021,total_housing_units,0
020130001001137,2021,total_housing_units,0
020130001001138,2021,total_housing_units,0
020130001001139,2021,total_housing_units,0
020130001001140,2021,total_housing_units,0
020130001001141,2021,total_housing_units,0
020130001001142,2021,total_housing_units,0
020130001001143,2021,total_housing_units,2
020130001001144,2021,total_housing_units,0
020130001001145,2021,total_housing_units,0
020130001001146,2021,total_housing_units,0
020130001001147,2021,total_housing_units,0
020130001001148,2021,total_housing_units,0
020130001001149,2021,total_housing_units,0
020130001001150,2021,total_housing_units,0
020130001001151,2021,total_housing_units,0
020130001001152,2021,total_housing_units,0
020130001001153,2021,total_housing_units,0
020130001001154,2021,total_housing_units,0
020130001001155,2021,total_housing_units,0
020130001001156,2021,total_housing_units,0
020130001001157,2021,total_housing_units,9
020130001001158,2021,total_housing_units,4
020130001001159,2021,total_housing_units,0
020130001001160,2021,total_housing_units,4
020130001001161,2021,total_housing_units,0
020130001001162,2021,total_housing_units,0
020130001001163,2021,total_housing_units,0
020130001001164,2021,total_housing_units,0
020130001001165,2021,total_housing_units,0
020130001001166,2021,total_housing_units,11
020130001001167,2021,total_housing_units,0
020130001001168,2021,total_housing_units,8
020130001001169,2021,total_housing_units,5
020130001001170,2021,total_housing_units,1
020130001001171,2021,total_housing_units,0
020130001001172,2021,total_housing_units,4
020130001001173,2021,total_housing_units,2
020130001001174,2021,total_housing_units,0
020130001001175,2021,total_housing_units,0
020130001001176,2021,total_housing_units,0
020130001001177,2021,total_housing_units,15
020130001001178,2021,total_housing_units,2
020130001001179,2021,total_housing_units,9
020130001001180,2021,total_housing_units,0
020130001001181,2021,total_housing_units,0
020130001001182,2021,total_housing_units,0
020130001001183,2021,total_housing_units,0
020130001001184,2021,total_housing_units,0
020130001001185,2021,total_housing_units,0
020130001001186,2021,total_housing_units,0
020130001001187,2021,total_housing_units,0
020130001001188,2021,total_housing_units,0
020130001001189,2021,total_housing_units,0
020130001001190,2021,total_housing_units,0
020130001001191,2021,total_housing_units,0
020130001001192,2021,total_housing_units,0
020130001001193,2021,total_housing_units,0
020130001001194,2021,total_housing_units,3
020130001001195,2021,total_housing_units,0
020130001001196,2021,total_housing_units,0
020130001001197,2021,total_housing_units,0
020130001001198,2021,total_housing_units,0
020130001001199,2021,total_housing_units,0
020130001001200,2021,total_housing_units,0
020130001001201,2021,total_housing_units,0
020130001001202,2021,total_housing_units,0
020130001001203,2021,total_housing_units,0
020130001001204,2021,total_housing_units,0
020130001001205,2021,total_housing_units,0
020130001001206,2021,total_housing_units,0
020130001001207,2021,total_housing_units,0
020130001001208,2021,total_housing_units,0
020130001001209,2021,total_housing_units,0
020130001001210,2021,total_housing_units,0
020130001001211,2021,total_housing_units,0
020130001001212,2021,total_housing_units,0
020130001001213,2021,total_housing_units,1
020130001001214,2021,total_housing_units,0
020130001001215,2021,total_housing_units,0
020130001001216,2021,total_housing_units,0
020130001001217,2021,total_housing_units,0
020130001001218,2021,total_housing_units,0
020130001001219,2021,total_housing_units,0
020130001001220,2021,total_housing_units,0
020130001001221,2021,total_housing_units,0
020130001001222,2021,total_housing_units,0
020130001001223,2021,total_housing_units,0
020130001001224,2021,total_housing_units,0
020130001001225,2021,total_housing_units,0
020130001001226,2021,total_housing_units,0
020130001001227,2021,total_housing_units,0
020130001001228,2021,total_housing_units,1
020130001001229,2021,total_housing_units,0
020130001001230,2021,total_housing_units,11
020130001001231,2021,total_housing_units,0
020130001001232,2021,total_housing_units,0
020130001001233,2021,total_housing_units,0
020130001001234,2021,total_housing_units,0
020130001001235,2021,total_housing_units,37
020130001001236,2021,total_housing_units,0
020130001001237,2021,total_housing_units,0
020130001001238,2021,total_housing_units,0
020130001001239,2021,total_housing_units,0
020130001001240,2021,total_housing_units,0
020130001001241,2021,total_housing_units,0
020130001001242,2021,total_housing_units,0
020130001001243,2021,total_housing_units,0
020130001001244,2021,total_housing_units,0
020130001001245,2021,total_housing_units,1
020130001001246,2021,total_housing_units,0
020130001001247,2021,total_housing_units,0
020130001001248,2021,total_housing_units,0
020130001001249,2021,total_housing_units,0
020130001001250,2021,total_housing_units,0
020130001001251,2021,total_housing_units,0
020130001001252,2021,total_housing_units,0
020130001001253,2021,total_housing_units,0
020130001001254,2021,total_housing_units,0
020130001001255,2021,total_housing_units,0
020130001001256,2021,total_housing_units,0
020130001001257,2021,total_housing_units,3
020130001001258,2021,total_housing_units,0
020130001001259,2021,total_housing_units,0
020130001001260,2021,total_housing_units,0
020130001001261,2021,total_housing_units,0
020130001001262,2021,total_housing_units,0
020130001001263,2021,total_housing_units,0
020130001001264,2021,total_housing_units,0
020130001001265,2021,total_housing_units,0
020130001001266,2021,total_housing_units,0
020130001001267,2021,total_housing_units,0
020130001001268,2021,total_housing_units,0
020130001001269,2021,total_housing_units,0
020130001001270,2021,total_housing_units,0
020130001001271,2021,total_housing_units,0
020130001001272,2021,total_housing_units,0
020130001001273,2021,total_housing_units,0
020130001001274,2021,total_housing_units,0
020130001001275,2021,total_housing_units,0
020130001001276,2021,total_housing_units,0
020130001001277,2021,total_housing_units,0
020130001001278,2021,total_housing_units,0
020130001001279,2021,total_housing_units,0
020130001001280,2021,total_housing_units,0
020130001001281,2021,total_housing_units,0
020130001001282,2021,total_housing_units,0
020130001001283,2021,total_housing_units,1
020130001001284,2021,total_housing_units,0
020130001001285,2021,total_housing_units,0
020130001001286,2021,total_housing_units,0
020130001001287,2021,total_housing_units,0
020130001001288,2021,total_housing_units,0
020130001001289,2021,total_housing_units,0
020130001001290,2021,total_housing_units,0
020130001001291,2021,total_housing_units,0
020130001001292,2021,total_housing_units,0
020130001001293,2021,total_housing_units,0
020130001001294,2021,total_housing_units,0
020130001002000,2021,total_housing_units,0
020130001002001,2021,total_housing_units,0
020130001002002,2021,total_housing_units,0
020130001002003,2021,total_housing_units,1
020130001002004,2021,total_housing_units,0
020130001002005,2021,total_housing_units,0
020130001002006,2021,total_housing_units,0
020130001002007,2021,total_housing_units,0
020130001002008,2021,total_housing_units,0
020130001002009,2021,total_housing_units,0
020130001002010,2021,total_housing_units,0
020130001002011,2021,total_housing_units,0
020130001002012,2021,total_housing_units,2
020130001002013,2021,total_housing_units,0
020130001002014,2021,total_housing_units,0
020130001002015,2021,total_housing_units,0
020130001002016,2021,total_housing_units,0
020130001002017,2021,total_housing_units,0
020130001002018,2021,total_housing_units,0
020130001002019,2021,total_housing_units,0
020130001002020,2021,total_housing_units,0
020130001002021,2021,total_housing_units,0
020130001002022,2021,total_housing_units,0
020130001002023,2021,total_housing_units,0
020130001002024,2021,total_housing_units,0
020130001002025,2021,total_housing_units,0
020130001002026,2021,total_housing_units,0
020130001002027,2021,total_housing_units,0
020130001002028,2021,total_housing_units,0
020130001002029,2021,total_housing_units,0
020130001002030,2021,total_housing_units,0
020130001002031,2021,total_housing_units,0
020130001002032,2021,total_housing_units,0
020130001002033,2021,total_housing_units,0
020130001002034,2021,total_housing_units,0
020130001002035,2021,total_housing_units,0
020130001002036,2021,total_housing_units,0
020130001002037,2021,total_housing_units,0
020130001002038,2021,total_housing_units,0
020130001002039,2021,total_housing_units,0
020130001002040,2021,total_housing_units,0
020130001002041,2021,total_housing_units,0
020130001002042,2021,total_housing_units,0
020130001002043,2021,total_housing_units,0
020130001002044,2021,total_housing_units,0
020130001002045,2021,total_housing_units,0
020130001002046,2021,total_housing_units,0
020130001002047,2021,total_housing_units,0
020130001002048,2021,total_housing_units,0
020130001002049,2021,total_housing_units,0
020130001002050,2021,total_housing_units,0
020130001002051,2021,total_housing_units,0
020130001002052,2021,total_housing_units,0
020130001002053,2021,total_housing_units,23
020130001002054,2021,total_housing_units,0
020130001002055,2021,total_housing_units,0
020130001002056,2021,total_housing_units,0
020130001002057,2021,total_housing_units,0
020130001002058,2021,total_housing_units,0
020130001002059,2021,total_housing_units,2
020130001002060,2021,total_housing_units,0
020130001002061,2021,total_housing_units,0
020130001002062,2021,total_housing_units,0
020130001002063,2021,total_housing_units,0
020130001002064,2021,total_housing_units,0
020130001002065,2021,total_housing_units,0
020130001002066,2021,total_housing_units,0
020130001002067,2021,total_housing_units,0
020130001002068,2021,total_housing_units,1
020130001002069,2021,total_housing_units,0
020130001002070,2021,total_housing_units,0
020130001002071,2021,total_housing_units,4
020130001002072,2021,total_housing_units,0
020130001002073,2021,total_housing_units,0
020130001002074,2021,total_housing_units,0
020130001002075,2021,total_housing_units,0
020130001002076,2021,total_housing_units,0
020130001002077,2021,total_housing_units,0
020130001002078,2021,total_housing_units,0
020130001002079,2021,total_housing_units,0
020130001002080,2021,total_housing_units,0
020130001002081,2021,total_housing_units,0
020130001002082,2021,total_housing_units,0
020130001002083,2021,total_housing_units,0
020130001002084,2021,total_housing_units,0
020130001002085,2021,total_housing_units,1
020130001002086,2021,total_housing_units,0
020130001002087,2021,total_housing_units,0
020130001002088,2021,total_housing_units,0
020130001002089,2021,total_housing_units,0
020130001002090,2021,total_housing_units,0
020130001002091,2021,total_housing_units,0
020130001002092,2021,total_housing_units,0
020130001002093,2021,total_housing_units,0
020130001002094,2021,total_housing_units,0
020130001002095,2021,total_housing_units,0
020130001002096,2021,total_housing_units,0
020130001002097,2021,total_housing_units,0
020130001002098,2021,total_housing_units,0
020130001002099,2021,total_housing_units,0
020130001002100,2021,total_housing_units,0
020130001002101,2021,total_housing_units,0
020130001002102,2021,total_housing_units,0
020130001002103,2021,total_housing_units,0
020130001002104,2021,total_housing_units,0
020130001002105,2021,total_housing_units,0
020130001002106,2021,total_housing_units,0
020130001002107,2021,total_housing_units,0
020130001002108,2021,total_housing_units,0
020130001002109,2021,total_housing_units,0
020130001002110,2021,total_housing_units,0
020130001002111,2021,total_housing_units,0
020130001002112,2021,total_housing_units,0
020130001002113,2021,total_housing_units,0
020130001002114,2021,total_housing_units,0
020130001002115,2021,total_housing_units,0
020130001002116,2021,total_housing_units,0
020130001002117,2021,total_housing_units,0
020130001002118,2021,total_housing_units,0
020130001002119,2021,total_housing_units,0
020130001002120,2021,total_housing_units,0
020130001002121,2021,total_housing_units,0
020130001002122,2021,total_housing_units,0
020130001002123,2021,total_housing_units,0
020130001002124,2021,total_housing_units,0
020130001002125,2021,total_housing_units,0
020130001002126,2021,total_housing_units,0
020130001002127,2021,total_housing_units,0
020130001002128,2021,total_housing_units,0
020130001002129,2021,total_housing_units,0
020130001002130,2021,total_housing_units,0
020130001002131,2021,total_housing_units,0
020130001002132,2021,total_housing_units,0
020130001002133,2021,total_housing_units,0
020130001002134,2021,total_housing_units,0
020130001002135,2021,total_housing_units,0
020130001002136,2021,total_housing_units,0
020130001002137,2021,total_housing_units,0
020130001002138,2021,total_housing_units,0
020130001002139,2021,total_housing_units,0
020130001002140,2021,total_housing_units,0
020130001002141,2021,total_housing_units,0
020130001002142,2021,total_housing_units,0
020130001002143,2021,total_housing_units,0
020130001002144,2021,total_housing_units,0
020130001002145,2021,total_housing_units,0
020130001002146,2021,total_housing_units,0
020130001002147,2021,total_housing_units,0
020130001002148,2021,total_housing_units,0
020130001002149,2021,total_housing_units,0
020130001002150,2021,total_housing_units,0
020130001002151,2021,total_housing_units,0
020130001002152,2021,total_housing_units,0
020130001002153,2021,total_housing_units,0
020130001002154,2021,total_housing_units,0
020130001002155,2021,total_housing_units,0
020130001002156,2021,total_housing_units,13
020130001002157,2021,total_housing_units,0
020130001002158,2021,total_housing_units,57
020130001002159,2021,total_housing_units,0
020130001002160,2021,total_housing_units,18
020130001002161,2021,total_housing_units,0
020130001002162,2021,total_housing_units,0
020130001002163,2021,total_housing_units,0
020130001002164,2021,total_housing_units,0
020130001002165,2021,total_housing_units,100
020130001002166,2021,total_housing_units,13
020130001002167,2021,total_housing_units,0
020130001002168,2021,total_housing_units,0
020130001002169,2021,total_housing_units,0
020130001002170,2021,total_housing_units,7
020130001002171,2021,total_housing_units,0
020130001002172,2021,total_housing_units,0
020130001002173,2021,total_housing_units,0
020130001002174,2021,total_housing_units,0
020130001002175,2021,total_housing_units,0
020130001002176,2021,total_housing_units,0
020130001002177,2021,total_housing_units,0
020130001002178,2021,total_housing_units,0
020130001002179,2021,total_housing_units,1
020130001002180,2021,total_housing_units,0
020130001002181,2021,total_housing_units,0
020130001002182,2021,total_housing_units,0
020130001002183,2021,total_housing_units,0
020130001002184,2021,total_housing_units,0
020130001002185,2021,total_housing_units,0
020130001002186,2021,total_housing_units,0
020130001002187,2021,total_housing_units,0
020130001002188,2021,total_housing_units,0
020130001002189,2021,total_housing_units,0
020130001002190,2021,total_housing_units,0
020130001002191,2021,total_housing_units,0
020130001002192,2021,total_housing_units,0
020130001002193,2021,total_housing_units,0
020130001002194,2021,total_housing_units,0
020130001002195,2021,total_housing_units,0
020130001002196,2021,total_housing_units,0
020130001002197,2021,total_housing_units,0
020130001002198,2021,total_housing_units,7
020130001002199,2021,total_housing_units,0
020130001002200,2021,total_housing_units,0
020130001002201,2021,total_housing_units,0
020130001002202,2021,total_housing_units,0
020130001003000,2021,total_housing_units,0
020130001003001,2021,total_housing_units,0
020130001003002,2021,total_housing_units,0
020130001003003,2021,total_housing_units,0
020130001003004,2021,total_housing_units,0
020130001003005,2021,total_housing_units,0
020130001003006,2021,total_housing_units,0
020130001003007,2021,total_housing_units,0
020130001003008,2021,total_housing_units,0
020130001003009,2021,total_housing_units,0
020130001003010,2021,total_housing_units,0
020130001003011,2021,total_housing_units,0
020130001003012,2021,total_housing_units,0
020130001003013,2021,total_housing_units,0
020130001003014,2021,total_housing_units,0
020130001003015,2021,total_housing_units,0
020130001003016,2021,total_housing_units,0
020130001003017,2021,total_housing_units,0
020130001003018,2021,total_housing_units,0
020130001003019,2021,total_housing_units,0
020130001003020,2021,total_housing_units,0
020130001003021,2021,total_housing_units,1
020130001003022,2021,total_housing_units,0
020130001003023,2021,total_housing_units,0
020130001003024,2021,total_housing_units,0
020130001003025,2021,total_housing_units,0
020130001003026,2021,total_housing_units,0
020130001003027,2021,total_housing_units,0
020130001003028,2021,total_housing_units,0
020130001003029,2021,total_housing_units,0
020130001003030,2021,total_housing_units,0
020130001003031,2021,total_housing_units,0
020130001003032,2021,total_housing_units,0
020130001003033,2021,total_housing_units,18
020130001003034,2021,total_housing_units,52
020130001003035,2021,total_housing_units,0
020130001003036,2021,total_housing_units,0
020130001003037,2021,total_housing_units,35
020130001003038,2021,total_housing_units,166
020130001003039,2021,total_housing_units,0
020130001003040,2021,total_housing_units,3
020130001003041,2021,total_housing_units,0
020130001003042,2021,total_housing_units,0
020130001003043,2021,total_housing_units,0
020130001003044,2021,total_housing_units,0
020130001003045,2021,total_housing_units,0
020130001003046,2021,total_housing_units,0
020130001003047,2021,total_housing_units,0
020130001003048,2021,total_housing_units,0
020130001003049,2021,total_housing_units,0
020130001003050,2021,total_housing_units,0
020130001003051,2021,total_housing_units,0
020130001003052,2021,total_housing_units,0
020130001003053,2021,total_housing_units,0
020130001003054,2021,total_housing_units,0
020130001003055,2021,total_housing_units,0
020130001003056,2021,total_housing_units,0
020130001003057,2021,total_housing_units,0
020130001003058,2021,total_housing_units,0
020130001003059,2021,total_housing_units,0
020130001003060,2021,total_housing_units,0
020130001003061,2021,total_housing_units,0
020130001003062,2021,total_housing_units,0
020130001003063,2021,total_housing_units,0
020130001003064,2021,total_housing_units,0
020130001003065,2021,total_housing_units,0
020130001003066,2021,total_housing_units,0
020130001003067,2021,total_housing_units,0
020130001003068,2021,total_housing_units,0
020130001003069,2021,total_housing_units,0
020130001003070,2021,total_housing_units,0
020130001003071,2021,total_housing_units,0
020130001003072,2021,total_housing_units,0
020130001003073,2021,total_housing_units,0
020130001003074,2021,total_housing_units,0
020130001003075,2021,total_housing_units,0
020130001003076,2021,total_housing_units,0
020130001003077,2021,total_housing_units,0
020130001003078,2021,total_housing_units,0
020130001003079,2021,total_housing_units,0
020130001003080,2021,total_housing_units,0
020130001003081,2021,total_housing_units,0
020130001003082,2021,total_housing_units,0
020130001003083,2021,total_housing_units,0
020130001003084,2021,total_housing_units,0
020130001003085,2021,total_housing_units,0
020130001003086,2021,total_housing_units,0
020130001003087,2021,total_housing_units,0
020130001003088,2021,total_housing_units,0
020130001003089,2021,total_housing_units,0
020130001003090,2021,total_housing_units,0
020130001003091,2021,total_housing_units,0
020130001003092,2021,total_housing_units,0
020130001003093,2021,total_housing_units,0
020130001003094,2021,total_housing_units,0
020130001003095,2021,total_housing_units,0
020130001003096,2021,total_housing_units,0
020130001003097,2021,total_housing_units,0
020130001003098,2021,total_housing_units,0
020130001003099,2021,total_housing_units,0
020130001003100,2021,total_housing_units,0
020130001003101,2021,total_housing_units,0
020130001003102,2021,total_housing_units,0
020130001003103,2021,total_housing_units,0
020130001003104,2021,total_housing_units,0
020130001003105,2021,total_housing_units,0
020130001003106,2021,total_housing_units,0
020130001003107,2021,total_housing_units,9
020130001003108,2021,total_housing_units,0
020130001003109,2021,total_housing_units,0
020130001003110,2021,total_housing_units,0
020130001003111,2021,total_housing_units,0
020160001001000,2021,total_housing_units,0
020160001001001,2021,total_housing_units,0
020160001001002,2021,total_housing_units,0
020160001001003,2021,total_housing_units,0
020160001001004,2021,total_housing_units,0
020160001001005,2021,total_housing_units,0
020160001001006,2021,total_housing_units,0
020160001001007,2021,total_housing_units,0
020160001001008,2021,total_housing_units,0
020160001001009,2021,total_housing_units,0
020160001001010,2021,total_housing_units,0
020160001001011,2021,total_housing_units,0
020160001001012,2021,total_housing_units,0
020160001001013,2021,total_housing_units,0
020160001001014,2021,total_housing_units,0
020160001001015,2021,total_housing_units,0
020160001001016,2021,total_housing_units,0
020160001001017,2021,total_housing_units,0
020160001001018,2021,total_housing_units,0
020160001001019,2021,total_housing_units,0
020160001001020,2021,total_housing_units,0
020160001001021,2021,total_housing_units,0
020160001001022,2021,total_housing_units,0
020160001001023,2021,total_housing_units,0
020160001001024,2021,total_housing_units,0
020160001001025,2021,total_housing_units,0
020160001001026,2021,total_housing_units,0
020160001001027,2021,total_housing_units,0
020160001001028,2021,total_housing_units,0
020160001001029,2021,total_housing_units,0
020160001001030,2021,total_housing_units,0
020160001001031,2021,total_housing_units,0
020160001001032,2021,total_housing_units,0
020160001001033,2021,total_housing_units,0
020160001001034,2021,total_housing_units,0
020160001001035,2021,total_housing_units,0
020160001001036,2021,total_housing_units,0
020160001001037,2021,total_housing_units,0
020160001001038,2021,total_housing_units,0
020160001001039,2021,total_housing_units,0
020160001001040,2021,total_housing_units,0
020160001001041,2021,total_housing_units,0
020160001001042,2021,total_housing_units,0
020160001001043,2021,total_housing_units,0
020160001001044,2021,total_housing_units,0
020160001001045,2021,total_housing_units,0
020160001001046,2021,total_housing_units,0
020160001001047,2021,total_housing_units,0
020160001001048,2021,total_housing_units,0
020160001001049,2021,total_housing_units,0
020160001001050,2021,total_housing_units,0
020160001001051,2021,total_housing_units,0
020160001001052,2021,total_housing_units,0
020160001001053,2021,total_housing_units,0
020160001001054,2021,total_housing_units,0
020160001001055,2021,total_housing_units,0
020160001001056,2021,total_housing_units,0
020160001001057,2021,total_housing_units,0
020160001001058,2021,total_housing_units,3
020160001001059,2021,total_housing_units,0
020160001001060,2021,total_housing_units,0
020160001001061,2021,total_housing_units,0
020160001001062,2021,total_housing_units,0
020160001001063,2021,total_housing_units,0
020160001001064,2021,total_housing_units,0
020160001001065,2021,total_housing_units,0
020160001001066,2021,total_housing_units,0
020160001001067,2021,total_housing_units,0
020160001001068,2021,total_housing_units,0
020160001001069,2021,total_housing_units,0
020160001001070,2021,total_housing_units,0
020160001001071,2021,total_housing_units,0
020160001001072,2021,total_housing_units,0
020160001001073,2021,total_housing_units,0
020160001001074,2021,total_housing_units,0
020160001001075,2021,total_housing_units,0
020160001001076,2021,total_housing_units,0
020160001001077,2021,total_housing_units,0
020160001001078,2021,total_housing_units,0
020160001001079,2021,total_housing_units,0
020160001001080,2021,total_housing_units,0
020160001001081,2021,total_housing_units,0
020160001001082,2021,total_housing_units,0
020160001001083,2021,total_housing_units,0
020160001001084,2021,total_housing_units,0
020160001001085,2021,total_housing_units,0
020160001001086,2021,total_housing_units,0
020160001001087,2021,total_housing_units,0
020160001001088,2021,total_housing_units,0
020160001001089,2021,total_housing_units,0
020160001001090,2021,total_housing_units,0
020160001001091,2021,total_housing_units,0
020160001001092,2021,total_housing_units,0
020160001001093,2021,total_housing_units,0
020160001001094,2021,total_housing_units,0
020160001001095,2021,total_housing_units,0
020160001001096,2021,total_housing_units,0
020160001001097,2021,total_housing_units,0
020160001001098,2021,total_housing_units,0
020160001001099,2021,total_housing_units,0
020160001001100,2021,total_housing_units,0
020160001001101,2021,total_housing_units,0
020160001001102,2021,total_housing_units,0
020160001001103,2021,total_housing_units,0
020160001001104,2021,total_housing_units,0
020160001001105,2021,total_housing_units,0
020160001001106,2021,total_housing_units,0
020160001001107,2021,total_housing_units,0
020160001001108,2021,total_housing_units,0
020160001001109,2021,total_housing_units,0
020160001001110,2021,total_housing_units,0
020160001001111,2021,total_housing_units,0
020160001001112,2021,total_housing_units,0
020160001001113,2021,total_housing_units,0
020160001001114,2021,total_housing_units,0
020160001001115,2021,total_housing_units,0
020160001001116,2021,total_housing_units,0
020160001001117,2021,total_housing_units,0
020160001001118,2021,total_housing_units,0
020160001001119,2021,total_housing_units,0
020160001001120,2021,total_housing_units,0
020160001001121,2021,total_housing_units,0
020160001001122,2021,total_housing_units,0
020160001001123,2021,total_housing_units,0
020160001001124,2021,total_housing_units,0
020160001001125,2021,total_housing_units,0
020160001001126,2021,total_housing_units,0
020160001001127,2021,total_housing_units,0
020160001001128,2021,total_housing_units,0
020160001001129,2021,total_housing_units,0
020160001001130,2021,total_housing_units,0
020160001001131,2021,total_housing_units,0
020160001001132,2021,total_housing_units,34
020160001001133,2021,total_housing_units,4
020160001001134,2021,total_housing_units,0
020160001001135,2021,total_housing_units,0
020160001001136,2021,total_housing_units,0
020160001001137,2021,total_housing_units,0
020160001001138,2021,total_housing_units,0
020160001001139,2021,total_housing_units,0
020160001001140,2021,total_housing_units,0
020160001001141,2021,total_housing_units,0
020160001001142,2021,total_housing_units,0
020160001001143,2021,total_housing_units,0
020160001001144,2021,total_housing_units,0
020160001001145,2021,total_housing_units,0
020160001001146,2021,total_housing_units,0
020160001001147,2021,total_housing_units,0
020160001001148,2021,total_housing_units,0
020160001001149,2021,total_housing_units,0
020160001001150,2021,total_housing_units,0
020160001001151,2021,total_housing_units,0
020160001001152,2021,total_housing_units,0
020160001001153,2021,total_housing_units,0
020160001001154,2021,total_housing_units,0
020160001001155,2021,total_housing_units,0
020160001001156,2021,total_housing_units,0
020160001001157,2021,total_housing_units,0
020160001001158,2021,total_housing_units,0
020160001001159,2021,total_housing_units,0
020160001001160,2021,total_housing_units,0
020160001001161,2021,total_housing_units,0
020160001001162,2021,total_housing_units,0
020160001001163,2021,total_housing_units,0
020160001001164,2021,total_housing_units,0
020160001001165,2021,total_housing_units,0
